index,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1875,Resin,American Double / Imperial IPA,12.0 oz,0.09%,103,46,Sixpoint Craft Ales,Brooklyn,NY
1876,Diesel,American Stout,16.0 OZ.,0.063,69,46,Sixpoint Craft Ales,Brooklyn,NY
1877,Autumnation (2011-12) (2011),Pumpkin Ale,16.0 ounce,0.06,48,46,Sixpoint Craft Ales,Brooklyn,NY
1878,The Crisp (2011),German Pilsener,16.0 ounce,0.05%,42,46,Sixpoint Craft Ales,Brooklyn,NY
1879,Sweet Action (2011),Cream Ale,16.0 oz.,0.052,34,46,Sixpoint Craft Ales,Brooklyn,NY
1880,Righteous Ale (2011),Rye Beer,16.0 oz.,0.063,57,46,Sixpoint Craft Ales,Brooklyn,NY
1881,Bengali Tiger (2011),American IPA,16.0 ounce,0.064,62,46,Sixpoint Craft Ales,Brooklyn,NY
1882,Rudie Session IPA,American IPA,12.0 oz,0.045,N/A,264,Ska Brewing Company,Durango,CO
1883,Taster's Choice,Doppelbock,12.0 oz,0.074,N/A,264,Ska Brewing Company,Durango,CO
1884,Modus Hoperandi,American IPA,12.0 OZ.,0.07%,65,264,Ska Brewing Company,Durango CO,
1885,Estival Cream Stout,American Stout,12.0 ounce,0.058,15,264,Ska Brewing Company,Durango,CO
1886,Vernal Minthe Stout,American Stout,12.0 oz.,0.058,N/A,264,Ska Brewing Company,Durango,CO
1887,Hibernal Vinifera Stout,Foreign / Export Stout,12.0 oz,0.08,N/A,264,Ska Brewing Company,Durango,CO
1888,Autumnal Molé Stout,American Stout,12.0 oz.,,N/A,264,Ska Brewing Company,Durango,CO
1889,Mexican Logger,American Pale Lager,12.0 ounce,0.042,18,264,Ska Brewing Company,Durango,CO
1890,True Blonde Ale,American Blonde Ale,12.0 oz.,0.053,N/A,264,Ska Brewing Company,Durango,CO
1891,Euphoria Pale Ale,American Pale Ale (APA),12.0 oz,0.061,N/A,264,Ska Brewing Company,Durango,CO
1892,ESB Special Ale,Extra Special / Strong Bitter (ESB),12.0 oz,0.057,58,264,Ska Brewing Company,Durango,CO
1893,Modus Hoperandi,American IPA,12.0 oz.,0.068,65,264,Ska Brewing Company,Durango,CO
1894,Iron Butt Red Ale,American Amber / Red Ale,12.0 oz,0.06%,39,313,Slanted Rock Brewing Company,Meridian,ID
1895,Initial Point India Pale Ale,American IPA,12.0 ounce,0.071,92,313,Slanted Rock Brewing Company,Meridian,ID
1896,Monkey Dancing On A Razor Blade,Belgian IPA,24.0 ounce,0.085,N/A,64,SlapShot Brewing Company,Chicago,IL
1897,Tripel Deke,Tripel,24.0 ounce,0.082,N/A,64,SlapShot Brewing Company,Chicago,IL
1898,Urban Wilderness Pale Ale,English Pale Ale,12.0 ounce,0.05%,N/A,557,Sleeping Lady Brewing Company,Anchorage,AK
1899,Homefront IPA,American IPA,12.0 oz. Alumi-Tek,0.06%,70,163,Sly Fox Brewing Company,Phoenixville,PA
1900,Sly Fox Christmas Ale 2013,Winter Warmer,12.0 oz,0.055,16,371,Sly Fox Brewing Company,Pottstown,PA
1901,Grisette,Grisette,12.0 ounce,0.056,25,371,Sly Fox Brewing Company,Pottstown,PA
1902,360° India Pale Ale,American IPA,12.0 oz.,0.06%,N/A,371,Sly Fox Brewing Company,Pottstown,PA
1903,Helles Golden Lager,Munich Helles Lager,12.0 ounce,0.049,18,371,Sly Fox Brewing Company,Pottstown,PA
1904,Sly Fox Christmas Ale 2012 (2012),Winter Warmer,12.0 oz.,0.055,16,371,Sly Fox Brewing Company,Pottstown,PA
1905,Odyssey Imperial IPA,American Double / Imperial IPA,12.0 oz.,0.084,90,371,Sly Fox Brewing Company,Pottstown,PA
1906,Oktoberfest Lager,Märzen / Oktoberfest,12.0 oz. Alumi-Tek,0.06%,25,371,Sly Fox Brewing Company,Pottstown PA,
1907,113 IPA,American IPA,12.0 oz.,0.07,113,371,Sly Fox Brewing Company,Pottstown,PA
1908,Dunkel Lager,Munich Dunkel Lager,12.0 oz. Alumi-Tek,0.053,21,371,Sly Fox Brewing Company,Pottstown,PA
1909,Royal Weisse Ale,Hefeweizen,12.0 OZ.,0.06%,11,371,Sly Fox Brewing Company,Pottstown,PA
1910,Pikeland Pils,German Pilsener,12.0 ounce,0.05%,44,371,Sly Fox Brewing Company,Pottstown,PA
1911,Phoenix Pale Ale,American Pale Ale (APA),12.0 oz.,0.051,40,371,Sly Fox Brewing Company,Pottstown,PA
1912,Rule G IPA,American IPA,12.0 oz,0.07%,88,115,Smartmouth Brewing Company,Norfolk,VA
1913,Murphy's Law,American Amber / Red Ale,12.0 oz.,0.058,35,115,Smartmouth Brewing Company,Norfolk,VA
1914,Alter Ego,Saison / Farmhouse Ale,12.0 oz,0.062,33,115,Smartmouth Brewing Company,Norfolk,VA
1915,Monarch Pilsner,American Pilsner,12.0 ounce,0.05,N/A,191,Snake River Brewing Company,Jackson,WY
1916,Snow King Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.06,55,191,Snake River Brewing Company,Jackson,WY
1917,Zonker Stout,Foreign / Export Stout,12.0 oz.,0.05%,36,191,Snake River Brewing Company,Jackson,WY
1918,OB-1 Organic Ale,English Brown Ale,12.0 oz.,0.05,22,191,Snake River Brewing Company,Jackson,WY
1919,Snake River Lager,Vienna Lager,12.0 oz,0.05,18,191,Snake River Brewing Company,Jackson,WY
1920,Snake River Pale Ale,American Pale Ale (APA),12.0 oz.,0.052,32,191,Snake River Brewing Company,Jackson,WY
1921,Pako’s EyePA,American IPA,12.0 oz.,0.068,60,191,Snake River Brewing Company,Jackson,WY
1922,Thanksgiving Ale,Kölsch,12.0 ounce,0.05,N/A,309,Sockeye Brewing Company,Boise,ID
1923,Double Dagger Imperial IPA,American Double / Imperial IPA,12.0 oz. Alumi-Tek,0.092,N/A,309,Sockeye Brewing Company,Boise,ID
1924,Dagger Falls IPA,American IPA,12.0 OZ.,0.063,100,309,Sockeye Brewing Company,Boise,ID
1925,Dagger Falls IPA,American IPA,12.0 oz,0.063,100,309,Sockeye Brewing Company,Boise,ID
1926,Socktoberfest,Märzen / Oktoberfest,16.0 oz,0.06%,N/A,309,Sockeye Brewing Company,Boise,ID
1927,Hopnoxious Imperial IPA,American Double / Imperial IPA,12.0 oz,0.079,N/A,309,Sockeye Brewing Company,Boise ID,
1928,Barrel Aged Seven Devils Imperial Stout,American Double / Imperial Stout,12.0 OZ.,0.099,N/A,309,Sockeye Brewing Company,Boise,ID
1929,Boise Co-Op Two Score Ale,Saison / Farmhouse Ale,16.0 oz.,0.06%,N/A,309,Sockeye Brewing Company,Boise,ID
1930,Sockeye Belgian Style Summer Ale,Witbier,16.0 oz,0.05,N/A,309,Sockeye Brewing Company,Boise,ID
1931,Sockeye Maibock,Maibock / Helles Bock,12.0 oz,0.064,N/A,309,Sockeye Brewing Company,Boise,ID
1932,Old Devil's Tooth,American Barleywine,12.0 OZ.,0.10%,100,309,Sockeye Brewing Company,Boise,ID
1933,Galena Golden,American Blonde Ale,12.0 oz. Alumi-Tek,0.04%,N/A,309,Sockeye Brewing Company,Boise ID,
1934,Hell-Diver Pale Ale,American Pale Ale (APA),12.0 oz.,0.05%,32,309,Sockeye Brewing Company,Boise,ID
1935,Woolybugger Wheat,American Pale Wheat Ale,12.0 oz.,0.046,12,309,Sockeye Brewing Company,Boise,ID
1936,Power House Porter,American Porter,12.0 OZ.,0.06%,N/A,309,Sockeye Brewing Company,Boise,ID
1937,Winterfest,American Strong Ale,16.0 oz.,0.084,90,309,Sockeye Brewing Company,Boise,ID
1938,Dagger Falls IPA,American IPA,12.0 ounce,0.063,100,309,Sockeye Brewing Company,Boise,ID
1939,LuckenBock,Bock,16.0 ounce,0.07,18,257,South Austin Brewery,South Austin,TX
1940,Texas Pale Ale (TPA),American IPA,16.0 oz. Alumi-Tek,0.055,40,257,South Austin Brewery,South Austin,TX
1941,6 String Saison,Saison / Farmhouse Ale,16.0 oz.,0.08,N/A,257,South Austin Brewery,South Austin,TX
1942,Kol' Beer,Kölsch,16.0 oz.,0.05%,22,257,South Austin Brewery,South Austin,TX
1943,Montauk Light,Light Lager,12.0 oz.,0.04%,N/A,249,Southampton Publick House,Southampton,NY
1944,Na Zdraví Pilsner,Czech Pilsener,16.0 oz.,0.048,32,436,Southern Oregon Brewing Company,Medford,OR
1945,Nice Rack IPA,American IPA,16.0 ounce,0.055,65,436,Southern Oregon Brewing Company,Medford,OR
1946,2014 IPA Cicada Series,American IPA,16.0 oz,0.075,72,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1947,Sinister Minister Black IPA,American IPA,16.0 oz.,0.077,65,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1948,Jack the Sipper,Extra Special / Strong Bitter (ESB),12.0 oz,0.05%,45,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1949,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.058,60,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1950,Suzy B Dirty Blonde Ale,American Blonde Ale,12.0 OZ.,0.05,20,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1951,Mississippi Fire Ant,American Amber / Red Ale,16.0 oz,0.08,80,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1952,Hipster Breakfast,Oatmeal Stout,16.0 oz,0.06%,40,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1953,Suzy B Dirty Blonde Ale,American Blonde Ale,16.0 oz. Alumi-Tek,0.05%,20,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1954,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),16.0 ounce,0.058,60,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1955,Pine Belt Pale Ale,American Pale Ale (APA),12.0 oz,0.065,45,118,Southern Star Brewing Company,Conroe,TX
1956,Walloon,Saison / Farmhouse Ale,12.0 ounce,0.055,N/A,118,Southern Star Brewing Company,Conroe TX,
1957,Le Mort Vivant,Bière de Garde,12.0 oz.,0.069,23,118,Southern Star Brewing Company,Conroe,TX
1958,Red Cockaded Ale,American Double / Imperial IPA,12.0 oz.,0.085,110,118,Southern Star Brewing Company,Conroe,TX
1959,Valkyrie Double IPA,American Double / Imperial IPA,12.0 ounce,0.092,100,118,Southern Star Brewing Company,Conroe,TX
1960,Red Cockaded Ale (2013),American Double / Imperial IPA,12.0 oz.,0.09%,110,118,Southern Star Brewing Company,Conroe,TX
1961,Old Potentate,Old Ale,12.0 oz,0.072,40,118,Southern Star Brewing Company,Conroe,TX
1962,Bombshell Blonde,American Blonde Ale,16.0 oz.,0.05,20,118,Southern Star Brewing Company,Conroe,TX
1963,PRO-AM (2012) (2012),American Double / Imperial IPA,12.0 oz,0.099,100,118,Southern Star Brewing Company,Conroe,TX
1964,Walloon (2014),Saison / Farmhouse Ale,12.0 ounce,0.055,N/A,118,Southern Star Brewing Company,Conroe,TX
1965,Le Mort Vivant (2011),Bière de Garde,12.0 oz,0.069,23,118,Southern Star Brewing Company,Conroe,TX
1966,Buried Hatchet Stout,Foreign / Export Stout,12.0 oz,0.083,50,118,Southern Star Brewing Company,Conroe,TX
1967,Pine Belt Pale Ale,American Pale Ale (APA),16.0 ounce,0.065,45,118,Southern Star Brewing Company,Conroe,TX
1968,Bombshell Blonde,American Blonde Ale,12.0 oz.,0.05,20,118,Southern Star Brewing Company,Conroe,TX
1969,Baby Daddy Session IPA,American IPA,12.0 oz.,0.047,35,78,Speakasy Ales & Lagers,San Francisco,CA
1970,Hopluia (2004),English India Pale Ale (IPA),16.0 oz,,N/A,508,Spilker Ales,Cortland,NE
1971,Ball & Chain (2014),American Pale Ale (APA),16.0 oz,0.058,N/A,175,Spiteful Brewing Company,Chicago,IL
1972,Bitter Biker Double IPA,American Double / Imperial IPA,16.0 oz.,0.096,N/A,175,Spiteful Brewing Company,Chicago,IL
1973,God Damn Pigeon Porter,American Porter,16.0 OZ.,0.082,N/A,175,Spiteful Brewing Company,Chicago,IL
1974,Working for the Weekend,American Double / Imperial IPA,16.0 oz,0.08%,N/A,175,Spiteful Brewing Company,Chicago,IL
1975,Angry Adam,American Amber / Red Ale,16.0 oz.,0.06,N/A,175,Spiteful Brewing Company,Chicago,IL
1976,Freedom Fries,American Stout,16.0 oz.,0.055,N/A,175,Spiteful Brewing Company,Chicago,IL
1977,Bitter Biker Double IPA,American Double / Imperial IPA,12.0 oz,0.10%,N/A,175,Spiteful Brewing Company,Chicago,IL
1978,Ghost Bike Pale Ale,American Pale Ale (APA),16.0 OZ.,0.073,N/A,175,Spiteful Brewing Company,Chicago,IL
1979,Spiteful IPA,American IPA,12.0 oz.,0.06%,N/A,175,Spiteful Brewing Company,Chicago,IL
1980,Alley Time,American Pale Ale (APA),12.0 oz.,0.06,N/A,175,Spiteful Brewing Company,Chicago IL,
1981,Fat Badger,Irish Red Ale,12.0 oz,0.058,N/A,175,Spiteful Brewing Company,Chicago,IL
1982,In the Weeds,American Pale Wheat Ale,12.0 oz.,0.055,N/A,175,Spiteful Brewing Company,Chicago,IL
1983,Special Amber,Vienna Lager,12.0 ounce,0.05,22,498,Sprecher Brewing Company,Glendale,WI
1984,Special Amber,Vienna Lager,12.0 ounce,0.05%,22,498,Sprecher Brewing Company,Glendale,WI
1985,Seven Gates Pale Ale,American Pale Ale (APA),12.0 oz,0.056,N/A,372,Spring House Brewing Company,Conestoga,PA
1986,Gunga Din,Cider,16.0 oz,0.052,N/A,186,St. Julian Winery,Paw Paw,MI
1987,Starr Pils,German Pilsener,12.0 oz,0.042,20,383,Starr Hill Brewery,Crozet,VA
1988,Northern Lights India Pale Ale,American IPA,16.0 ounce,0.065,52,383,Starr Hill Brewery,Crozet,VA
1989,Festie,Märzen / Oktoberfest,12.0 oz,0.05%,12,383,Starr Hill Brewery,Crozet,VA
1990,Northern Lights India Pale Ale,American IPA,12.0 ounce,0.07%,52,383,Starr Hill Brewery,Crozet,VA
1991,Third Eye Enlightened Pale Ale,American Pale Ale (APA),12.0 oz.,0.065,65,119,Steamworks Brewing Company,Durango,CO
1992,Colorado Kölsch,Kölsch,12.0 oz,0.05%,17,119,Steamworks Brewing Company,Durango,CO
1993,Steam Engine Lager,American Amber / Red Lager,12.0 oz,0.057,25,119,Steamworks Brewing Company,Durango,CO
1994,Third Eye Pale Ale,American IPA,12.0 oz. Alumi-Tek,0.065,65,119,Steamworks Brewing Company,Durango,CO
1995,Point Special (Current),American Adjunct Lager,12.0 oz.,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
1996,Point Special,American Adjunct Lager,12.0 oz. Alumi-Tek,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
1997,Point Cascade Pale Ale (2013),American Pale Ale (APA),12.0 oz,0.054,33,131,Stevens Point Brewery,Stevens Point,WI
1998,Point Special,American Adjunct Lager,12.0 ounce,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
1999,Onyx Black Ale,American Black Ale,12.0 oz.,0.05%,9,131,Stevens Point Brewery,Stevens Point,WI
2000,Beyond The Pale IPA,American IPA,12.0 oz. Alumi-Tek,0.063,64,131,Stevens Point Brewery,Stevens Point,WI
2001,Point Special (2013),American Adjunct Lager,12.0 oz,0.05%,9,131,Stevens Point Brewery,Stevens Point,WI
2002,Point Special (2012),American Adjunct Lager,12.0 oz,0.05%,9,131,Stevens Point Brewery,Stevens Point,WI
2003,Point Special Lager,American Adjunct Lager,16.0 oz.,0.05%,9,131,Stevens Point Brewery,Stevens Point,WI
2004,St. Benedict's Winter Ale,Winter Warmer,12.0 oz.,0.062,N/A,131,Stevens Point Brewery,Stevens Point,WI
2005,Point Oktoberfest,Märzen / Oktoberfest,16.0 ounce,0.057,15,131,Stevens Point Brewery,Stevens Point,WI
2006,Point Nude Beach Summer Wheat,American Pale Wheat Ale,16.0 oz,0.05%,7,131,Stevens Point Brewery,Stevens Point,WI
2007,Point Nude Beach Summer Wheat,American Pale Wheat Ale,12.0 oz. Alumi-Tek,0.05,7,131,Stevens Point Brewery,Stevens Point,WI
2008,Point Nude Beach Summer Wheat (2011),American Pale Wheat Ale,12.0 oz. Alumi-Tek,0.05%,7,131,Stevens Point Brewery,Stevens Point,WI
2009,Drop Dead Blonde,American Blonde Ale,12.0 oz,0.035,N/A,131,Stevens Point Brewery,Stevens Point,WI
2010,Three Kings Ale,Kölsch,12.0 oz.,0.049,13,131,Stevens Point Brewery,Stevens Point,WI
2011,Point Oktoberfest,Märzen / Oktoberfest,12.0 ounce,0.06%,15,131,Stevens Point Brewery,Stevens Point,WI
2012,2012 Black Ale,American Brown Ale,12.0 oz,0.054,32,131,Stevens Point Brewery,Stevens Point,WI
2013,Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,12.0 oz,0.05%,7,131,Stevens Point Brewery,Stevens Point,WI
2014,Point Cascade Pale Ale,American Pale Ale (APA),12.0 ounce,0.054,33,131,Stevens Point Brewery,Stevens Point,WI
2015,Point Amber Classic,American Amber / Red Lager,12.0 oz.,0.047,14,131,Stevens Point Brewery,Stevens Point,WI
2016,Point Special Lager,American Adjunct Lager,12.0 oz,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
2017,Wisco Disco,American Amber / Red Ale,16.0 ounce,0.05%,31,486,Stillmank Beer Company,Green Bay,WI
2018,Brontide,American Black Ale,12.0 OZ.,0.05,N/A,255,Stillwater Artisanal Ales,Baltimore,MD
2019,Brontide,American Black Ale,12.0 oz.,0.05,N/A,255,Stillwater Artisanal Ales,Baltimore,MD
2020,Classique,Saison / Farmhouse Ale,12.0 ounce,0.045,N/A,255,Stillwater Artisanal Ales,Baltimore MD,
2021,Sunsplash Golden Ale (2004),American Blonde Ale,12.0 oz,0.045,N/A,492,Stone Coast Brewing Company,Portland,ME
2022,Sand Island Lighthouse,Kölsch,12.0 oz.,0.051,25,412,Straight to Ale,Huntsville,AL
2023,Lily Flagg Milk Stout,Milk / Sweet Stout,12.0 oz.,0.05,30,412,Straight to Ale,Huntsville,AL
2024,Monkeynaut IPA,American IPA,12.0 oz.,0.07%,70,412,Straight to Ale,Huntsville,AL
2025,Straub Beer (Current),American Adjunct Lager,12.0 oz,0.05,N/A,129,Straub Brewery,St Mary's,PA
2026,American Lager,American Adjunct Lager,12.0 oz.,0.041,8,129,Straub Brewery,St Mary's,PA
2027,American Amber,American Amber / Red Lager,12.0 oz.,0.041,8,129,Straub Brewery,St Mary's,PA
2028,American Light,Light Lager,12.0 oz.,0.032,13,129,Straub Brewery,St Mary's,PA
2029,Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.053,49,138,Summit Brewing Company,St Paul,MN
2030,Make It So,Extra Special / Strong Bitter (ESB),12.0 ounce,0.053,40,58,Summit Brewing Company,St. Paul,MN
2031,Hopvale Organic Ale,American Pale Ale (APA),16.0 ounce,0.05%,55,58,Summit Brewing Company,St. Paul MN,
2032,Unchained #18 Hop Silo,American Double / Imperial IPA,16.0 oz.,0.08%,100,58,Summit Brewing Company,St. Paul,MN
2033,Tip Off,Altbier,16.0 ounce,0.052,29,25,Sun King Brewing Company,Indianapolis,IN
2034,Java Mac,Scottish Ale,16.0 ounce,0.054,N/A,25,Sun King Brewing Company,Indianapolis,IN
2035,Cowbell,American Porter,16.0 oz.,0.054,23,25,Sun King Brewing Company,Indianapolis,IN
2036,Hop Up Offa That Brett (2014),Belgian Pale Ale,16.0 ounce,0.06%,20,25,Sun King Brewing Company,Indianapolis,IN
2037,PV Muckle (2013),Scotch Ale / Wee Heavy,16.0 oz.,0.083,23,25,Sun King Brewing Company,Indianapolis,IN
2038,Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,16.0 ounce,0.10%,36,25,Sun King Brewing Company,Indianapolis,IN
2039,Whip Fight,Scotch Ale / Wee Heavy,16.0 oz,0.09,30,25,Sun King Brewing Company,Indianapolis,IN
2040,Port Barrel Wee Mac,Scotch Ale / Wee Heavy,16.0 ounce,0.05%,23,25,Sun King Brewing Company,Indianapolis,IN
2041,Fistful Of Hops Red,American IPA,16.0 oz. Alumi-Tek,0.064,75,25,Sun King Brewing Company,Indianapolis,IN
2042,Fistful of Hops Orange,American IPA,16.0 oz,0.063,75,25,Sun King Brewing Company,Indianapolis IN,
2043,Fistful Of Hops Blue,American IPA,16.0 oz.,0.064,75,25,Sun King Brewing Company,Indianapolis IN,
2044,Fistful of Hops Green,American IPA,16.0 oz,0.064,75,25,Sun King Brewing Company,Indianapolis,IN
2045,30 Min Coma,Belgian IPA,16.0 ounce,,N/A,25,Sun King Brewing Company,Indianapolis IN,
2046,Wee Muckle,Scotch Ale / Wee Heavy,16.0 ounce,0.09,30,25,Sun King Brewing Company,Indianapolis,IN
2047,Royal Brat,Extra Special / Strong Bitter (ESB),16.0 oz. Silo Can,0.07%,55,25,Sun King Brewing Company,Indianapolis,IN
2048,Grapefruit Jungle (GFJ),American IPA,16.0 oz,0.075,77,25,Sun King Brewing Company,Indianapolis,IN
2049,Osiris Pale Ale,American Pale Ale (APA),16.0 ounce,0.06%,50,25,Sun King Brewing Company,Indianapolis,IN
2050,Bourbon Barrel Aged Timmie,Russian Imperial Stout,16.0 oz.,0.099,75,25,Sun King Brewing Company,Indianapolis,IN
2051,Stupid Sexy Flanders,Flanders Oud Bruin,16.0 oz.,0.063,23,25,Sun King Brewing Company,Indianapolis,IN
2052,Bourbon Barrel Cowbell,American Porter,16.0 OZ.,,N/A,25,Sun King Brewing Company,Indianapolis,IN
2053,Popcorn Pilsner,German Pilsener,16.0 ounce,0.054,N/A,25,Sun King Brewing Company,Indianapolis,IN
2054,Ring of Dingle,Irish Dry Stout,16.0 oz.,0.07%,27,25,Sun King Brewing Company,Indianapolis,IN
2055,Bourbon Barrel Wee Mac,Scottish Ale,16.0 oz.,0.054,23,25,Sun King Brewing Company,Indianapolis,IN
2056,Bourbon Barrel Johan,English Barleywine,16.0 oz,0.10%,60,25,Sun King Brewing Company,Indianapolis,IN
2057,The Deuce,American Brown Ale,16.0 oz,0.07%,N/A,25,Sun King Brewing Company,Indianapolis,IN
2058,The Velvet Fog,Quadrupel (Quad),16.0 ounce,0.09,24,25,Sun King Brewing Company,Indianapolis,IN
2059,Sun King Oktoberfest,Märzen / Oktoberfest,16.0 oz. Alumi-Tek,0.055,23,25,Sun King Brewing Company,Indianapolis,IN
2060,Indianapolis Indians Lager,Dortmunder / Export Lager,16.0 oz,0.052,24,25,Sun King Brewing Company,Indianapolis,IN
2061,Indians Victory Lager (2012),Dortmunder / Export Lager,16.0 oz,0.052,24,25,Sun King Brewing Company,Indianapolis IN,
2062,Chaka,Belgian Strong Pale Ale,16.0 oz,0.08,N/A,25,Sun King Brewing Company,Indianapolis,IN
2063,Isis,American Double / Imperial IPA,16.0 oz.,0.09%,91,25,Sun King Brewing Company,Indianapolis,IN
2064,Wee Muckle (2011),Scotch Ale / Wee Heavy,16.0 oz,0.09%,30,25,Sun King Brewing Company,Indianapolis,IN
2065,Grapefruit Jungle (GFJ) (2011),American IPA,16.0 oz.,0.075,77,25,Sun King Brewing Company,Indianapolis,IN
2066,Sun King Oktoberfest (2011),Märzen / Oktoberfest,16.0 ounce,0.055,23,25,Sun King Brewing Company,Indianapolis,IN
2067,Johan the Barleywine,English Barleywine,16.0 oz,0.10%,60,25,Sun King Brewing Company,Indianapolis,IN
2068,Wee Mac Scottish-Style Ale,Scottish Ale,16.0 oz.,0.054,23,25,Sun King Brewing Company,Indianapolis,IN
2069,Sunlight Cream Ale,Cream Ale,16.0 oz,0.053,20,25,Sun King Brewing Company,Indianapolis,IN
2070,Osiris Pale Ale (2010),American Pale Ale (APA),16.0 oz. Alumi-Tek,0.06%,50,25,Sun King Brewing Company,Indianapolis,IN
2071,Dam Lager,American Amber / Red Lager,12.0 OZ.,0.045,N/A,455,Sunken City Brewing Company,Hardy,VA
2072,Red Clay IPA,American IPA,12.0 ounce,0.07,N/A,455,Sunken City Brewing Company,Hardy,VA
2073,Todd the Axe Man,American IPA,16.0 oz.,0.07%,N/A,61,Surly Brewing Company,Brooklyn Center,MN
2074,Doomtree,Extra Special / Strong Bitter (ESB),16.0 oz.,0.057,N/A,61,Surly Brewing Company,Brooklyn Center MN,
2075,BLAKKR,American Black Ale,16.0 oz,0.10%,85,61,Surly Brewing Company,Brooklyn Center,MN
2076,Overrated! West Coast Style IPA,American IPA,16.0 ounce,0.07%,69,61,Surly Brewing Company,Brooklyn Center,MN
2077,WET,American IPA,16.0 ounce,0.075,90,61,Surly Brewing Company,Brooklyn Center,MN
2078,Bitter Brewer,English Bitter,16.0 ounce,0.04,37,61,Surly Brewing Company,Brooklyn Center,MN
2079,SurlyFest,Rye Beer,16.0 oz,0.055,34,61,Surly Brewing Company,Brooklyn Center,MN
2080,Coffee Bender,American Brown Ale,16.0 oz,0.051,45,61,Surly Brewing Company,Brooklyn Center,MN
2081,Bender,American Brown Ale,16.0 oz.,0.051,45,61,Surly Brewing Company,Brooklyn Center,MN
2082,Abrasive Ale,American Double / Imperial IPA,16.0 OZ.,0.10%,120,61,Surly Brewing Company,Brooklyn Center,MN
2083,Hell,Keller Bier / Zwickel Bier,16.0 oz.,0.05%,20,61,Surly Brewing Company,Brooklyn Center,MN
2084,CynicAle,Saison / Farmhouse Ale,16.0 oz.,0.067,33,61,Surly Brewing Company,Brooklyn Center,MN
2085,Furious,American IPA,16.0 oz. Alumi-Tek,0.062,99,61,Surly Brewing Company,Brooklyn Center,MN
2086,Big Nose,American IPA,12.0 oz,0.073,50,447,Swamp Head Brewery,Gainesville,FL
2087,Cotton Mouth,Witbier,12.0 oz.,0.05%,10,447,Swamp Head Brewery,Gainesville,FL
2088,Stump Knocker Pale Ale,American Pale Ale (APA),12.0 OZ.,0.056,35,447,Swamp Head Brewery,Gainesville,FL
2089,Midnight Oil,Oatmeal Stout,12.0 OZ.,0.05,38,447,Swamp Head Brewery,Gainesville,FL
2090,Wild Night,Cream Ale,12.0 oz,0.06%,18,447,Swamp Head Brewery,Gainesville,FL
2091,Bermuda Triangle Ginger Beer,Herbed / Spiced Beer,12.0 OZ.,0.045,N/A,381,Swashbuckler Brewing Company,Manheim,PA
2092,Take Two Pils,German Pilsener,12.0 oz.,0.055,35,49,SweetWater Brewing Company,Atlanta,GA
2093,Waterkeeper,Hefeweizen,12.0 oz.,0.06%,N/A,49,SweetWater Brewing Company,Atlanta,GA
2094,SweetWater IPA,American IPA,12.0 oz.,0.06%,N/A,49,SweetWater Brewing Company,Atlanta,GA
2095,420 Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.054,N/A,49,SweetWater Brewing Company,Atlanta,GA
2096,Dodgy Knight Imperial IPA,American Double / Imperial IPA,12.0 ounce,0.08,95,449,TailGate Beer,San Diego,CA
2097,TailGate Saison,Saison / Farmhouse Ale,12.0 oz.,0.05%,N/A,449,TailGate Beer,San Diego,CA
2098,TailGate IPA,American IPA,24.0 oz.,0.05,44,449,TailGate Beer,San Diego,CA
2099,TailGate IPA,American IPA,12.0 oz. Silo Can,0.05,44,449,TailGate Beer,San Diego,CA
2100,TailGate Hefeweizen,Hefeweizen,24.0 oz.,0.05%,28,449,TailGate Beer,San Diego,CA
2101,Blacktop Blonde,American Blonde Ale,24.0 oz.,0.05%,19,449,TailGate Beer,San Diego,CA
2102,Blacktop Blonde,American Blonde Ale,12.0 oz,0.05,19,449,TailGate Beer,San Diego,CA
2103,TailGate Hefeweizen,Hefeweizen,12.0 ounce,0.05%,28,449,TailGate Beer,San Diego,CA
2104,Wooden Rooster,Tripel,16.9 OZ.,0.085,34,45,Tallgrass Brewing Company,Manhattan,KS
2105,Ginger Peach Saison,Saison / Farmhouse Ale,16.0 oz.,0.05%,20,45,Tallgrass Brewing Company,Manhattan,KS
